               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.037799,             0.13485,                   0,             0.84942,              0.7282,             0.77059,             0.37445,            0.039916,             0.21629,                   0,           0.0084903,           0.0084903,           0.0084903
                  63,            0.039087,             0.12256,                   0,             0.82899,             0.74618,             0.76145,             0.35106,            0.040576,              0.2178,                   0,           0.0084655,           0.0084655,           0.0084655
                  64,            0.039318,              0.1429,                   0,             0.80118,             0.70142,             0.74818,             0.35688,            0.041073,             0.22115,                   0,           0.0084408,           0.0084408,           0.0084408
                  65,            0.038225,             0.12166,                   0,             0.83888,             0.74372,              0.7758,             0.38752,            0.038638,             0.21096,                   0,            0.008416,            0.008416,            0.008416
                  66,            0.037202,             0.12353,                   0,             0.82898,             0.72817,              0.7495,             0.34743,            0.039907,             0.21081,                   0,           0.0083913,           0.0083913,           0.0083913
                  67,            0.038769,             0.12705,                   0,             0.83893,             0.75355,             0.78375,              0.3913,            0.036582,             0.20547,                   0,           0.0083665,           0.0083665,           0.0083665
                  68,            0.038455,             0.15181,                   0,             0.79734,             0.70765,             0.70849,             0.30469,            0.041264,             0.21504,                   0,           0.0083418,           0.0083418,           0.0083418
                  69,            0.040359,             0.13209,                   0,             0.78839,             0.66297,             0.73371,             0.34544,             0.04316,             0.22448,                   0,            0.008317,            0.008317,            0.008317
                  70,            0.039526,             0.12595,                   0,             0.82566,             0.74645,             0.75728,             0.35349,            0.039507,             0.21399,                   0,           0.0082922,           0.0082922,           0.0082922
                  71,            0.039237,             0.13295,                   0,             0.82986,             0.76037,             0.78216,             0.38754,            0.038473,             0.20826,                   0,           0.0082675,           0.0082675,           0.0082675
                  72,            0.038984,             0.12192,                   0,              0.8396,             0.74288,             0.77688,             0.39079,             0.03755,             0.21329,                   0,           0.0082428,           0.0082428,           0.0082428
                  73,            0.038731,             0.13553,                   0,             0.83295,             0.73581,             0.76921,             0.37421,            0.039689,             0.20887,                   0,            0.008218,            0.008218,            0.008218
                  74,            0.039884,             0.13746,                   0,             0.81835,             0.64438,             0.68916,             0.30655,            0.042302,             0.23586,                   0,           0.0081932,           0.0081932,           0.0081932
                  75,            0.037847,             0.13063,                   0,             0.85057,             0.71179,             0.76021,             0.36876,            0.038388,              0.2222,                   0,           0.0081685,           0.0081685,           0.0081685
                  76,            0.036221,             0.13345,                   0,             0.82077,             0.70033,             0.72472,             0.32505,            0.041214,             0.21774,                   0,           0.0081437,           0.0081437,           0.0081437
                  77,             0.03803,             0.12962,                   0,             0.82131,             0.68341,             0.71931,             0.32575,            0.041853,             0.22962,                   0,            0.008119,            0.008119,            0.008119
                  78,            0.036948,             0.12021,                   0,             0.81346,             0.70934,             0.74175,             0.34626,            0.041267,             0.21975,                   0,           0.0080942,           0.0080942,           0.0080942
                  79,            0.037727,             0.13251,                   0,             0.84117,             0.74591,             0.77001,             0.36691,            0.038113,             0.21174,                   0,           0.0080695,           0.0080695,           0.0080695
                  80,            0.037325,             0.13071,                   0,             0.84497,             0.74527,             0.77915,              0.3918,            0.038777,             0.20974,                   0,           0.0080447,           0.0080447,           0.0080447
                  81,            0.038466,             0.14505,                   0,             0.85156,             0.74618,             0.77611,             0.38941,            0.036896,             0.20809,                   0,             0.00802,             0.00802,             0.00802
                  82,            0.036805,             0.13062,                   0,             0.83888,             0.73609,             0.77811,             0.39129,            0.038733,             0.21476,                   0,           0.0079953,           0.0079953,           0.0079953
                  83,            0.036832,             0.13051,                   0,             0.84356,             0.74099,             0.77197,             0.37219,            0.038973,             0.20865,                   0,           0.0079705,           0.0079705,           0.0079705
                  84,            0.037297,             0.15373,                   0,             0.83144,             0.73235,             0.76622,             0.37789,            0.037909,             0.21531,                   0,           0.0079457,           0.0079457,           0.0079457
                  85,            0.037643,             0.13711,                   0,             0.82891,             0.71316,             0.73387,             0.33139,            0.040745,             0.22337,                   0,            0.007921,            0.007921,            0.007921
                  86,             0.03902,              0.1205,                   0,             0.81192,             0.72162,             0.75707,              0.3641,            0.038618,             0.21398,                   0,           0.0078963,           0.0078963,           0.0078963
                  87,            0.036464,              0.1369,                   0,              0.8399,             0.74127,             0.77423,             0.37872,            0.039575,             0.21346,                   0,           0.0078715,           0.0078715,           0.0078715
                  88,            0.037355,             0.12944,                   0,             0.82534,             0.74563,             0.78271,             0.39207,            0.038575,             0.21354,                   0,           0.0078467,           0.0078467,           0.0078467
